"","origin","dest","dep_delay","arr_delay","visib","carrier"
"4895","JFK","LAS","<=15","<=15",10,"DL"
"4896","JFK","SAN","<=15","<=15",6,"DL"
"4897","RSW","JFK",">60",">60",4,"B6"
"4898","LGA","ATL","<=15","<=15",3,"DL"
"4899","JFK","ATL",">60",">60",3,"B6"
"4900","LGA","DFW","<=15","<=15",10,"DL"
"4901","EWR","FLL","<=15","<=15",10,"B6"
"4902","LGA","MCO",">60",">60",10,"DL"
"4903","JFK","ORD","<=15","<=15",1,"AA"
"4904","CLT","EWR",">60",">60",5,"UA"
"4905","BUF","JFK","45-60","45-60",1.5,"B6"
"4906","EWR","CLE","30-45","15-30",2,"UA"
"4907","JFK","LAS","<=15","<=15",10,"AA"
"4908","EWR","SAN",">60",">60",6,"AS"
"4909","SLC","JFK","45-60",">60",5,"DL"
"4910","JFK","MCO","30-45","30-45",10,"B6"
"4911","BNA","EWR",">60",">60",5,"UA"
"4912","LGA","DEN","15-30","<=15",5,"WN"
"4913","MIA","JFK","<=15","<=15",4,"AA"
"4914","JFK","LAX","<=15","45-60",10,"DL"
"4915","EWR","TPA","<=15","<=15",10,"UA"
"4916","LGA","BOS","<=15","<=15",1.5,"B6"
"4917","LGA","DTW","<=15","<=15",0.75,"DL"
"4918","LGA","STL","<=15","<=15",10,"AA"
"4919","JFK","ROC","15-30","<=15",1.5,"B6"
"4920","EWR","SEA",">60","15-30",10,"UA"
"4921","EWR","IAH","<=15","<=15",10,"UA"
"4922","JFK","MSY","15-30","<=15",10,"DL"
"4923","ORD","EWR","30-45","45-60",5,"UA"
"4924","BOS","JFK","<=15","<=15",1.5,"DL"
"4925","ORD","LGA","45-60","45-60",5,"AA"
"4926","EWR","PBI",">60",">60",10,"UA"
"4927","EWR","PHX","15-30","<=15",10,"UA"
"4928","LGA","ATL",">60",">60",3,"WN"
"4929","LGA","DFW",">60",">60",10,"AA"
"4930","EWR","MCO",">60",">60",10,"UA"
"4931","LGA","CLT","<=15","<=15",10,"AA"
"4932","LGA","TPA","15-30","15-30",10,"WN"
"4933","LGA","ORD","<=15","<=15",1,"AA"
"4934","LGA","MCO",">60",">60",10,"B6"
"4935","ORD","LGA","<=15","<=15",5,"DL"
"4936","EWR","IAD","<=15","<=15",10,"UA"
"4937","JFK","PBI",">60",">60",10,"B6"
"4938","EWR","ORD","45-60","30-45",2,"UA"
"4939","EWR","SAN",">60",">60",6,"UA"
"4940","LGA","DAL","<=15","15-30",10,"WN"
"4941","LGA","MIA","<=15","<=15",10,"AA"
"4942","EWR","ORD","<=15","30-45",2,"AA"
"4943","EWR","LAS",">60",">60",10,"UA"
"4944","EWR","OAK","30-45","30-45",10,"NK"
"4945","LGA","ORD","<=15","15-30",2,"DL"
"4946","JFK","SFO","<=15","<=15",5,"AA"
"4947","EWR","DEN",">60",">60",10,"UA"
"4948","EWR","BOS","<=15","<=15",1.5,"B6"
"4949","JFK","LAX",">60",">60",10,"B6"
"4950","JFK","AUS","<=15","<=15",10,"AA"
"4951","AUS","JFK","<=15","<=15",4,"DL"
"4952","EWR","PHX",">60","45-60",10,"AA"
"4953","LGA","MIA","<=15","<=15",10,"F9"
"4954","LAX","JFK","15-30","15-30",10,"B6"
"4955","DEN","LGA","<=15","<=15",7,"UA"
"4956","DTW","LGA","<=15","<=15",7,"DL"
"4957","EWR","PIT","<=15","<=15",10,"YX"
"4958","EWR","MCO",">60",">60",10,"NK"
"4959","DCA","LGA","30-45","15-30",2,"AA"
"4960","BOS","LGA","<=15","<=15",2,"B6"
"4961","PBI","EWR",">60",">60",5,"B6"
"4962","JFK","BOS","<=15","<=15",1.5,"YX"
"4963","LGA","SDF","<=15","<=15",10,"YX"
"4964","LGA","ATL","<=15","<=15",3,"YX"
"4965","LGA","OKC","15-30","15-30",10,"YX"
"4966","LGA","MCI","<=15","<=15",10,"YX"
"4967","LGA","RDU","<=15","<=15",10,"9E"
"4968","DTW","EWR","<=15","<=15",5,"DL"
"4969","LGA","CMH","<=15","<=15",9,"YX"
"4970","LGA","IND","<=15","<=15",10,"YX"
"4971","LGA","STL","<=15","<=15",10,"9E"
"4972","MKE","EWR",">60",">60",5,"UA"
"4973","JFK","MCI","<=15","<=15",10,"9E"
"4974","LGA","MKE","<=15","<=15",1.25,"9E"
"4975","LGA","BNA","<=15","<=15",6,"9E"
"4976","LGA","PIT","<=15","<=15",7,"YX"
"4977","LGA","CLT","<=15","<=15",10,"YX"
"4978","MCO","LGA","<=15","<=15",5,"B6"
"4979","ATL","EWR",">60",">60",5,"UA"
"4980","LGA","DCA","<=15","<=15",10,"YX"
"4981","IAH","JFK",">60",">60",5,"B6"
"4982","LGA","IND","<=15","<=15",10,"YX"
"4983","MCO","EWR",">60",">60",5,"NK"
"4984","LGA","MCI","<=15","<=15",10,"YX"
"4985","MSY","LGA","15-30","30-45",5,"B6"
"4986","IAD","EWR","30-45","<=15",2,"UA"
"4987","DFW","EWR",">60",">60",5,"AA"
"4988","RSW","LGA","<=15","<=15",5,"B6"
"4989","MCO","EWR","15-30","15-30",5,"UA"
"4990","RDU","EWR",">60",">60",5,"UA"
"4991","FLL","JFK","30-45","<=15",4,"B6"
"4992","PBI","EWR",">60",">60",5,"UA"
"4993","DFW","JFK","<=15","<=15",4,"AA"
"4994","PHX","EWR","<=15","<=15",6,"AA"
"4995","DEN","EWR",">60",">60",6,"UA"
"4996","DAL","LGA","30-45","15-30",5,"WN"
"4997","TPA","LGA","<=15","<=15",5,"DL"
"4998","RDU","JFK","<=15","15-30",2,"B6"
"4999","DEN","LGA","<=15","<=15",9,"DL"
"5000","MIA","JFK","<=15","<=15",4,"B6"
"5001","DFW","LGA",">60","45-60",9,"AA"
"5002","MDW","LGA","<=15","<=15",5,"WN"
"5003","BUF","EWR",">60",">60",5,"YX"
"5004","EYW","EWR",">60",">60",5,"YX"
"5005","SYR","EWR",">60",">60",2,"YX"
"5006","ILM","EWR",">60",">60",5,"YX"
"5007","ROC","EWR",">60",">60",5,"YX"
"5008","ATL","LGA","15-30",">60",7,"YX"
"5009","CHO","LGA","<=15","<=15",7,"YX"
"5010","CHS","JFK","<=15","<=15",2,"9E"
"5011","IAH","LGA","<=15","15-30",9,"YX"
"5012","JAX","JFK","<=15","<=15",4,"9E"
"5013","DCA","JFK","<=15","30-45",1.5,"YX"
"5014","CVG","LGA","<=15","<=15",7,"YX"
"5015","RDU","LGA","<=15","<=15",7,"9E"
"5016","PIT","LGA","<=15","<=15",7,"9E"
"5017","CLT","JFK","<=15","<=15",4,"9E"
"5018","CVG","LGA","<=15","<=15",7,"9E"
"5019","CLE","LGA","<=15","<=15",7,"9E"
"5020","BWI","JFK","<=15","<=15",1.5,"9E"
"5021","DCA","JFK","<=15","<=15",1.5,"YX"
"5022","DCA","LGA","<=15","<=15",2,"YX"
"5023","IND","LGA","<=15","<=15",7,"YX"
"5024","CMH","LGA","<=15","<=15",7,"YX"
"5025","JFK","BUF",">60",">60",6,"B6"
"5026","EWR","MYR",">60",">60",10,"NK"
"5027","JFK","LAX",">60",">60",9,"B6"
"5028","JFK","MCO","<=15","<=15",10,"B6"
"5029","JFK","SLC","<=15","<=15",10,"DL"
"5030","JFK","SEA","<=15","<=15",10,"DL"
"5031","JFK","SAN","15-30","<=15",10,"AS"
"5032","LGA","FLL","<=15","<=15",10,"B6"
"5033","JFK","MIA","<=15","<=15",10,"AA"
"5034","LGA","ATL","15-30","<=15",9,"DL"
"5035","EWR","LAX","<=15","<=15",10,"UA"
"5036","EWR","CLE",">60","45-60",10,"UA"
"5037","JFK","AUS","<=15","<=15",10,"DL"
"5038","EWR","AUS","30-45","15-30",10,"UA"
"5039","LGA","MSP",">60",">60",2,"DL"
"5040","JFK","LAS","<=15","<=15",10,"B6"
"5041","EWR","SEA",">60",">60",10,"AS"
"5042","MIA","EWR",">60",">60",5,"AA"
"5043","EWR","SLC","<=15","<=15",10,"DL"
"5044","EWR","IAH",">60",">60",10,"UA"
"5045","EWR","IND",">60",">60",10,"UA"
"5046","LGA","DFW","<=15","<=15",10,"AA"
"5047","CLT","EWR","30-45","30-45",5,"AA"
"5048","EWR","MSN","30-45","15-30",3,"UA"
"5049","EWR","SFO","30-45","<=15",5,"UA"
"5050","LGA","BOS","<=15","<=15",1.5,"B6"
"5051","EWR","ORD","30-45","30-45",3,"UA"
"5052","LGA","DCA","<=15","<=15",10,"AA"
"5053","ORD","EWR","15-30","30-45",5,"AA"
"5054","EWR","PDX",">60",">60",10,"UA"
"5055","EWR","SNA","<=15","<=15",10,"UA"
"5056","EWR","MIA","<=15","<=15",10,"UA"
"5057","TPA","EWR",">60",">60",5,"UA"
"5058","EWR","BOS","<=15","<=15",1.5,"UA"
"5059","CLT","JFK",">60",">60",4,"AA"
"5060","LGA","STL","<=15","15-30",10,"WN"
"5061","AUS","JFK",">60",">60",5,"B6"
"5062","IAH","EWR","30-45","15-30",6,"UA"
"5063","DFW","EWR","<=15","<=15",6,"AA"
"5064","EWR","MCO",">60",">60",10,"UA"
"5065","EWR","IAD",">60",">60",10,"UA"
"5066","LGA","CLT","<=15","<=15",10,"AA"
"5067","EWR","DEN",">60",">60",5,"UA"
"5068","EWR","FLL","45-60","30-45",10,"NK"
"5069","EWR","RSW","30-45","15-30",10,"UA"
"5070","LGA","ORD","<=15","<=15",1,"UA"
"5071","EWR","DFW","15-30","<=15",10,"AA"
"5072","ATL","LGA","30-45","30-45",5,"DL"
"5073","BOS","EWR","<=15","<=15",5,"UA"
"5074","MCO","LGA","<=15","<=15",5,"B6"
"5075","LGA","DEN","<=15","<=15",5,"UA"
"5076","MIA","LGA","30-45","15-30",5,"AA"
"5077","LGA","ORD","<=15","<=15",3,"AA"
"5078","JFK","TPA",">60",">60",10,"B6"
"5079","EWR","MIA","<=15","<=15",10,"AA"
"5080","JFK","DFW","<=15","<=15",10,"AA"
"5081","LGA","BNA","30-45","45-60",10,"WN"
"5082","EWR","MDT","15-30","15-30",1.75,"YX"
"5083","PBI","JFK",">60",">60",4,"B6"
"5084","EWR","CMH","<=15","<=15",9,"YX"
"5085","EWR","PIT",">60",">60",10,"YX"
"5086","PBI","LGA",">60",">60",5,"B6"
"5087","LGA","FLL",">60",">60",9,"NK"
"5088","MCO","JFK","<=15","<=15",4,"B6"
"5089","BOS","LGA","<=15","<=15",7,"B6"
"5090","LGA","TUL","15-30","<=15",10,"YX"
"5091","LGA","LIT","<=15","<=15",10,"YX"
"5092","LGA","IND","<=15","<=15",10,"YX"
"5093","LGA","OMA","<=15","<=15",2,"YX"
"5094","IAH","LGA","<=15","<=15",9,"UA"
"5095","JFK","CHS","<=15","<=15",10,"9E"
"5096","LGA","CLE","<=15","<=15",10,"9E"
"5097","FLL","EWR","45-60","30-45",5,"UA"
"5098","JFK","IND","<=15","<=15",10,"9E"
"5099","MCO","EWR","<=15","15-30",5,"UA"
"5100","ORD","LGA","<=15","<=15",5,"AA"
"5101","JFK","CVG","<=15","<=15",10,"9E"
"5102","DTW","LGA","15-30","<=15",5,"NK"
"5103","LGA","BOS","<=15","<=15",1.5,"YX"
"5104","JFK","JAX","<=15","<=15",10,"YX"
"5105","DEN","EWR","15-30","<=15",10,"UA"
"5106","ORD","LGA","<=15","<=15",5,"UA"
"5107","CLT","LGA","30-45","15-30",7,"AA"
"5108","JAX","EWR",">60",">60",5,"UA"
"5109","JAX","LGA",">60","45-60",5,"B6"
"5110","DFW","LGA",">60",">60",9,"AA"
"5111","DCA","LGA","15-30","15-30",7,"AA"
"5112","IND","EWR",">60",">60",5,"YX"
"5113","RIC","EWR",">60",">60",5,"YX"
"5114","CHS","EWR",">60",">60",5,"YX"
"5115","PIT","EWR",">60",">60",5,"YX"
"5116","IND","LGA","<=15","<=15",5,"YX"
"5117","DTW","LGA","<=15","<=15",5,"YX"
"5118","CLE","LGA","<=15","<=15",7,"YX"
"5119","RIC","LGA","<=15","<=15",5,"YX"
"5120","PIT","LGA","<=15","<=15",5,"YX"
"5121","CLT","LGA","<=15","<=15",5,"YX"
"5122","BOS","LGA","<=15","<=15",7,"YX"
"5123","EWR","PDX",">60",">60",10,"AS"
"5124","JFK","SLC","15-30","<=15",10,"B6"
"5125","JFK","RNO","<=15","<=15",10,"B6"
"5126","HOU","LGA","15-30","<=15",7,"WN"
"5127","LGA","DAL","<=15","<=15",10,"WN"
"5128","JFK","LAX","<=15","<=15",10,"AA"
"5129","JFK","SFO","<=15","<=15",10,"DL"
"5130","LGA","MIA","<=15","<=15",10,"DL"
"5131","JFK","ONT","<=15","<=15",3.5,"B6"
"5132","LGA","ORD","<=15","<=15",1.25,"AA"
"5133","EWR","SFO",">60",">60",10,"AS"
"5134","LGA","JAX",">60",">60",10,"B6"
"5135","LGA","MCO",">60",">60",10,"NK"
"5136","EWR","SAN",">60",">60",10,"UA"
"5137","JFK","ATL",">60",">60",6,"DL"
"5138","FLL","EWR",">60",">60",5,"UA"
"5139","LGA","MCO",">60",">60",10,"B6"
"5140","BOS","JFK","<=15","<=15",4,"B6"
"5141","SRQ","EWR","<=15",">60",6,"UA"
"5142","EWR","SEA",">60",">60",10,"UA"
"5143","EWR","CLT","30-45","15-30",10,"AA"
"5144","ORD","LGA","15-30","45-60",9,"AA"
"5145","JFK","PHX","<=15","<=15",10,"DL"
"5146","RDU","JFK",">60",">60",4,"B6"
"5147","LGA","PBI","<=15","<=15",10,"DL"
"5148","JFK","LAX","15-30","<=15",9,"DL"
"5149","MIA","EWR","15-30","45-60",6,"UA"
"5150","LGA","RDU","<=15","<=15",10,"AA"
"5151","EWR","DFW",">60",">60",10,"UA"
"5152","RDU","EWR",">60",">60",5,"UA"
"5153","EWR","LAS",">60",">60",10,"UA"
"5154","JFK","LAS",">60","30-45",10,"B6"
"5155","ATL","EWR",">60",">60",5,"DL"
"5156","EWR","CLT","15-30","15-30",10,"UA"
"5157","LGA","BOS","<=15","<=15",1.5,"B6"
"5158","JFK","DEN","30-45","<=15",6,"DL"
"5159","JFK","MCO","30-45","<=15",10,"DL"
"5160","EWR","LAX",">60",">60",9,"B6"
"5161","JFK","BOS","<=15","<=15",1.5,"DL"
"5162","SAV","EWR",">60",">60",5,"UA"
"5163","JFK","FLL","<=15","<=15",10,"DL"
"5164","LGA","SAV",">60",">60",10,"B6"
"5165","JFK","CLT",">60",">60",10,"AA"
"5166","MCO","EWR",">60",">60",5,"B6"
"5167","JFK","TPA","45-60","15-30",10,"DL"
"5168","LGA","BNA","<=15","<=15",10,"AA"
"5169","ATL","JFK","15-30","15-30",4,"DL"
"5170","EWR","MCO","15-30","<=15",10,"UA"
"5171","LGA","ATL",">60","45-60",6,"DL"
"5172","PBI","LGA","<=15","<=15",9,"DL"
"5173","EWR","IAD",">60",">60",10,"UA"
"5174","LGA","FLL","<=15","<=15",9,"DL"
"5175","EWR","ATL","<=15",">60",9,"DL"
"5176","LGA","RSW","15-30","<=15",10,"DL"
"5177","JFK","PDX","<=15","<=15",10,"DL"
"5178","LGA","TPA",">60",">60",10,"DL"
"5179","JFK","PBI","<=15","<=15",10,"DL"
"5180","RSW","EWR",">60",">60",5,"UA"
"5181","DTW","JFK",">60",">60",4,"B6"
"5182","EWR","IND","<=15","<=15",10,"YX"
"5183","EWR","ALB",">60",">60",2,"YX"
"5184","MIA","LGA","<=15","<=15",9,"AA"
"5185","ATL","EWR",">60","45-60",6,"NK"
"5186","EWR","CMH",">60",">60",10,"YX"
"5187","ROC","JFK","<=15","15-30",4,"B6"
"5188","LGA","CMH","<=15","<=15",10,"YX"
"5189","ATL","JFK",">60",">60",4,"B6"
"5190","MCO","LGA","<=15","<=15",9,"F9"
"5191","MIA","JFK","30-45","15-30",5,"DL"
"5192","LGA","XNA","<=15","<=15",10,"YX"
"5193","LGA","PIT","<=15","<=15",10,"YX"
"5194","MIA","EWR",">60",">60",6,"B6"
"5195","JFK","CLT","<=15","<=15",10,"9E"
"5196","BOS","LGA","<=15","<=15",5,"B6"
"5197","JFK","BNA","<=15","<=15",10,"9E"
"5198","LGA","ORF","<=15","<=15",10,"YX"
"5199","FLL","LGA","<=15","<=15",9,"DL"
"5200","JFK","DCA","15-30","15-30",10,"YX"
"5201","JFK","RDU","<=15","<=15",10,"9E"
"5202","TPA","JFK","<=15","<=15",5,"DL"
"5203","MSP","JFK",">60",">60",5,"DL"
"5204","JAX","JFK",">60",">60",5,"B6"
"5205","DFW","LGA","<=15","<=15",7,"AA"
"5206","RSW","EWR","15-30","30-45",6,"B6"
"5207","RDU","LGA","<=15","<=15",5,"AA"
"5208","JFK","ORD","<=15","<=15",1.25,"YX"
"5209","MSY","EWR","15-30","15-30",6,"UA"
"5210","MIA","JFK","<=15","<=15",5,"AA"
"5211","IAH","EWR","<=15","<=15",10,"UA"
"5212","BNA","LGA","30-45","15-30",9,"B6"
"5213","SRQ","LGA",">60",">60",5,"B6"
"5214","MIA","LGA","<=15","<=15",7,"DL"
"5215","CHS","JFK","<=15","<=15",4,"B6"
"5216","ORD","JFK","45-60","30-45",5,"AA"
"5217","FLL","JFK","<=15","<=15",5,"DL"
"5218","MSP","EWR",">60",">60",6,"DL"
"5219","CVG","EWR",">60",">60",5,"YX"
"5220","BTV","EWR","<=15","<=15",5,"YX"
"5221","SDF","EWR",">60",">60",5,"YX"
"5222","PWM","EWR","15-30","15-30",5,"YX"
"5223","DCA","JFK","<=15","<=15",4,"YX"
"5224","GSO","LGA","<=15","<=15",5,"YX"
"5225","ILM","LGA","<=15","<=15",5,"YX"
"5226","JFK","DEN",">60",">60",6,"B6"
"5227","EWR","LAX",">60",">60",10,"AS"
"5228","JFK","LAX","<=15","<=15",10,"AA"
"5229","JFK","TPA",">60",">60",10,"B6"
"5230","EWR","BOS",">60",">60",7,"UA"
"5231","EWR","MSY","15-30","30-45",9,"UA"
"5232","JFK","SFO","<=15","<=15",10,"AS"
"5233","BUF","JFK",">60",">60",5,"B6"
"5234","EWR","IAH",">60",">60",10,"NK"
"5235","EWR","FLL","15-30","<=15",10,"UA"
"5236","JFK","LAS","45-60","15-30",10,"DL"
"5237","MIA","EWR","<=15","<=15",6,"AA"
"5238","EWR","PHX",">60",">60",10,"UA"
"5239","EWR","SFO","15-30","<=15",7,"UA"
"5240","ORD","LGA","<=15","<=15",7,"AA"
"5241","JFK","DFW","15-30","<=15",10,"B6"
"5242","JFK","BOS",">60",">60",1.5,"B6"
"5243","EWR","MCO","15-30","<=15",10,"B6"
"5244","JFK","PBI","45-60",">60",10,"B6"
"5245","STL","LGA","30-45","15-30",7,"WN"
"5246","EWR","SRQ","<=15","<=15",10,"UA"
"5247","LGA","DEN",">60","30-45",6,"WN"
"5248","EWR","MCO","15-30","<=15",10,"UA"
"5249","EWR","IAH",">60",">60",10,"UA"
"5250","FLL","LGA",">60",">60",7,"B6"
"5251","EWR","CLE","<=15","<=15",10,"UA"
"5252","JFK","DTW",">60",">60",1,"B6"
"5253","LGA","BOS","<=15","<=15",1.5,"B6"
"5254","EWR","PBI",">60",">60",10,"UA"
"5255","EWR","CHS","30-45","30-45",10,"UA"
"5256","JFK","FLL","45-60","30-45",10,"B6"
"5257","MCO","LGA","<=15","<=15",7,"NK"
"5258","EWR","MIA",">60",">60",10,"UA"
"5259","JFK","LAX","<=15","<=15",10,"B6"
"5260","LGA","PBI","15-30","<=15",10,"B6"
"5261","EWR","SLC",">60",">60",10,"UA"
"5262","LGA","DCA","<=15","<=15",10,"AA"
"5263","MCO","JFK","<=15","<=15",5,"B6"
"5264","JFK","MIA",">60",">60",10,"B6"
"5265","EWR","LAX",">60",">60",10,"UA"
"5266","EWR","TPA","30-45","<=15",10,"UA"
"5267","EWR","ORD","15-30","<=15",5,"UA"
"5268","EWR","SMF",">60","30-45",6,"UA"
"5269","JFK","MCO",">60","30-45",10,"B6"
"5270","LGA","BNA",">60",">60",10,"WN"
"5271","LGA","MIA","<=15","<=15",10,"AA"
"5272","EWR","GRR","15-30","<=15",3,"YX"
"5273","EWR","IND",">60",">60",10,"YX"
"5274","EWR","SDF","45-60","45-60",10,"YX"
"5275","EWR","PVD","<=15","<=15",10,"YX"
"5276","TPA","EWR","<=15","<=15",6,"UA"
"5277","EWR","CVG",">60",">60",10,"YX"
"5278","EWR","ILM",">60",">60",10,"YX"
"5279","LGA","ATL","<=15","<=15",1,"YX"
"5280","MIA","EWR","30-45","15-30",6,"UA"
"5281","MIA","JFK","<=15","<=15",5,"AA"
"5282","LGA","DTW","<=15","<=15",1,"YX"
"5283","LGA","CVG",">60","45-60",10,"YX"
"5284","MIA","LGA","15-30","15-30",7,"AA"
"5285","LGA","CLE","<=15","<=15",10,"YX"
"5286","LGA","ILM","<=15","<=15",10,"YX"
"5287","SNA","EWR","<=15","<=15",10,"UA"
"5288","ORD","LGA","<=15","<=15",7,"UA"
"5289","BOS","LGA","<=15","<=15",5,"B6"
"5290","ATL","EWR",">60",">60",6,"UA"
"5291","CLT","JFK",">60",">60",4,"AA"
"5292","FLL","EWR","30-45","45-60",6,"NK"
"5293","JFK","DCA","<=15","<=15",10,"YX"
"5294","CLT","LGA",">60","45-60",9,"AA"
"5295","MDW","LGA",">60",">60",7,"WN"
"5296","BOS","JFK","30-45","30-45",4,"B6"
"5297","FLL","LGA","15-30","<=15",7,"NK"
"5298","BNA","LGA",">60",">60",7,"WN"
"5299","MCO","JFK","<=15","<=15",5,"DL"
"5300","MCO","EWR","45-60","30-45",6,"UA"
"5301","ATL","LGA",">60",">60",9,"DL"
"5302","SFO","JFK","<=15","<=15",10,"B6"
"5303","CLT","EWR","30-45","30-45",6,"AA"
"5304","ORD","EWR","<=15","<=15",6,"AA"
"5305","MIA","EWR","30-45","15-30",6,"NK"
"5306","IAH","EWR","30-45","<=15",10,"NK"
"5307","ATL","LGA","<=15","<=15",7,"YX"
"5308","JFK","SAN","30-45","30-45",10,"B6"
"5309","JFK","BUF",">60",">60",3.5,"B6"
"5310","JFK","BTV","30-45","15-30",10,"B6"
"5311","JFK","BOS","30-45","30-45",7,"B6"
"5312","EWR","ORD",">60",">60",5,"UA"
"5313","LGA","MCO",">60",">60",10,"B6"
"5314","EWR","DTW",">60",">60",1,"UA"
"5315","LGA","FLL","15-30","<=15",10,"B6"
"5316","JFK","ORD","15-30","<=15",3,"B6"
"5317","JFK","SFO","<=15","<=15",7,"B6"
"5318","MCO","JFK","30-45","30-45",5,"B6"
"5319","LGA","CHS","<=15","<=15",10,"B6"
"5320","EWR","ORF","30-45","<=15",10,"UA"
"5321","EWR","DCA","45-60","30-45",10,"UA"
"5322","ATL","LGA","15-30","15-30",7,"DL"
"5323","ATL","JFK","45-60",">60",5,"DL"
"5324","EWR","PHL",">60",">60",9,"UA"
"5325","EWR","BUF",">60",">60",3.5,"UA"
"5326","EWR","ATL","45-60",">60",1,"UA"
"5327","EWR","MCI",">60","45-60",10,"UA"
"5328","LGA","MDW",">60",">60",1,"WN"
"5329","EWR","ROC",">60",">60",6,"UA"
"5330","EWR","BOS","45-60","45-60",4,"UA"
"5331","JFK","RDU",">60",">60",10,"B6"
"5332","LAX","EWR","<=15","<=15",10,"UA"
"5333","FLL","EWR",">60",">60",10,"B6"
"5334","LGA","DTW","<=15","<=15",1,"NK"
"5335","EWR","PWM","45-60","30-45",2,"UA"
"5336","EWR","BNA","45-60","15-30",10,"UA"
"5337","JFK","LAX",">60",">60",10,"B6"
"5338","SEA","EWR","<=15","<=15",10,"AS"
"5339","EWR","DEN",">60",">60",10,"UA"
"5340","DTW","LGA","15-30","<=15",7,"DL"
"5341","EWR","RDU","30-45","30-45",10,"UA"
"5342","EWR","CLT","45-60",">60",10,"UA"
"5343","EWR","BTV","15-30","<=15",10,"UA"
"5344","JFK","SYR","<=15","<=15",5,"B6"
"5345","MCO","LGA","45-60","30-45",7,"B6"
"5346","BOS","JFK","<=15","<=15",5,"B6"
"5347","EWR","BGR","15-30","<=15",3,"YX"
"5348","EWR","PIT",">60","45-60",10,"YX"
"5349","EWR","MEM","30-45","30-45",10,"YX"
"5350","EWR","GSO","30-45","15-30",10,"YX"
"5351","EWR","GSP","45-60","45-60",10,"YX"
"5352","DTW","EWR","<=15","<=15",6,"DL"
"5353","EWR","MHT",">60",">60",7,"YX"
"5354","LGA","MEM","<=15","<=15",10,"YX"
"5355","LGA","RIC","<=15","<=15",10,"YX"
"5356","LGA","GSO","<=15","<=15",10,"YX"
"5357","LGA","RDU","<=15","<=15",10,"YX"
"5358","JFK","PWM","30-45","<=15",2,"9E"
"5359","JFK","BUF","<=15","<=15",7,"9E"
"5360","JFK","ROC","<=15","<=15",5,"9E"
"5361","JFK","SYR","<=15","<=15",5,"9E"
"5362","JFK","BGR","<=15","<=15",10,"9E"
"5363","ORD","EWR","<=15","<=15",10,"UA"
"5364","FLL","JFK","<=15","15-30",10,"B6"
"5365","SFO","EWR","<=15","<=15",10,"UA"
"5366","MCO","EWR",">60",">60",6,"UA"
"5367","SAN","EWR",">60",">60",10,"UA"
"5368","LAX","JFK",">60",">60",10,"B6"
"5369","LAX","JFK","<=15","<=15",10,"AA"
"5370","SEA","JFK",">60",">60",10,"AS"
"5371","LAX","JFK",">60",">60",6,"B6"
"5372","PHX","JFK",">60",">60",10,"B6"
"5373","SMF","JFK","<=15","<=15",6,"B6"
"5374","SFO","JFK","<=15","<=15",6,"AS"
"5375","JFK","ROC","30-45","30-45",6,"B6"
"5376","LAS","EWR","<=15","<=15",10,"UA"
"5377","SEA","JFK","<=15","<=15",10,"B6"
"5378","JFK","ORH",">60",">60",7,"B6"
"5379","SFO","JFK","<=15","<=15",6,"DL"
"5380","LAS","JFK","<=15","<=15",10,"DL"
"5381","LGA","BNA","<=15","<=15",10,"B6"
"5382","SFO","EWR","<=15","<=15",10,"AS"
"5383","JFK","BOS","<=15","<=15",4,"B6"
"5384","LGA","MCO","<=15","<=15",10,"F9"
"5385","IAD","EWR","30-45","30-45",6,"UA"
"5386","LAS","JFK","<=15","<=15",10,"AA"
"5387","LGA","DCA","<=15","<=15",10,"AA"
"5388","LAS","JFK","<=15","<=15",10,"B6"
"5389","JFK","SFO","30-45","15-30",4,"B6"
"5390","LAX","JFK","45-60","30-45",10,"DL"
"5391","SEA","JFK","<=15","15-30",6,"DL"
"5392","CLT","LGA",">60",">60",7,"AA"
"5393","SFO","EWR","15-30","<=15",10,"UA"
"5394","DCA","LGA","<=15","<=15",7,"AA"
"5395","SMF","EWR","<=15","<=15",10,"UA"
"5396","CLT","EWR","<=15","<=15",10,"AA"
"5397","ATL","EWR","<=15","<=15",10,"DL"
"5398","SLC","JFK","<=15","<=15",10,"B6"
"5399","SEA","JFK","<=15","<=15",6,"AS"
"5400","RNO","JFK","<=15","<=15",6,"B6"
"5401","DEN","JFK",">60",">60",10,"B6"
"5402","LAX","EWR","<=15","<=15",10,"AS"
"5403","SFO","JFK","<=15","<=15",6,"AS"
"5404","ONT","JFK","<=15","<=15",6,"B6"
"5405","SLC","JFK","<=15","<=15",10,"DL"
"5406","EWR","JAX",">60",">60",10,"UA"
"5407","LAX","EWR","15-30","15-30",10,"UA"
"5408","PHX","JFK","<=15","<=15",10,"DL"
"5409","LAS","JFK","<=15","<=15",6,"DL"
"5410","DEN","EWR",">60",">60",10,"UA"
"5411","PHX","JFK","<=15","<=15",10,"AA"
"5412","LAX","JFK",">60",">60",6,"B6"
"5413","LAS","EWR","<=15","<=15",10,"UA"
"5414","SEA","EWR","<=15","<=15",10,"UA"
"5415","PDX","EWR",">60",">60",10,"UA"
"5416","PHX","EWR","<=15","<=15",10,"UA"
"5417","LAS","JFK","45-60","30-45",6,"B6"
"5418","SFO","EWR","<=15","<=15",10,"UA"
"5419","LAX","EWR",">60","45-60",10,"B6"
"5420","SLC","EWR",">60",">60",8,"UA"
"5421","MCO","EWR","<=15","<=15",7,"NK"
