"","origin","dest","dep_delay","arr_delay","visib","carrier"
"303","LGA","CVG","<=15","<=15",1.25,"9E"
"304","LGA","CHS","<=15","<=15",10,"9E"
"305","JFK","JAX","<=15","<=15",0.25,"YX"
"306","LGA","CLT","<=15","<=15",5,"YX"
"307","LGA","JAX","<=15","<=15",0.13,"YX"
"308","LGA","CMH","<=15","<=15",0.24,"YX"
"309","PBI","EWR","<=15","<=15",7,"UA"
"310","RDU","LGA","<=15","<=15",10,"AA"
"311","MIA","EWR","<=15","<=15",7,"UA"
"312","MIA","JFK","<=15","<=15",6,"AA"
"313","LAX","EWR","<=15","<=15",10,"UA"
"314","LAX","JFK","15-30","<=15",10,"B6"
"315","BNA","EWR","<=15","<=15",7,"UA"
"316","OAK","EWR","<=15","<=15",10,"NK"
"317","IAD","EWR","<=15","<=15",5,"UA"
"318","MCO","JFK","<=15","<=15",6,"DL"
"319","ORD","LGA","<=15","<=15",10,"AA"
"320","CMH","EWR","<=15","<=15",5,"YX"
"321","IND","EWR","<=15","<=15",7,"YX"
"322","PIT","EWR","<=15","<=15",5,"YX"
"323","SDF","EWR","<=15","<=15",5,"YX"
"324","CVG","LGA","<=15","<=15",10,"YX"
"325","IND","JFK","<=15","<=15",6,"YX"
"326","ROC","LGA",">60",">60",10,"9E"
"327","ALB","LGA","<=15","<=15",10,"9E"
"328","PWM","LGA","<=15","<=15",10,"9E"
"329","MKE","LGA","<=15","<=15",10,"9E"
"330","CLE","LGA","<=15","<=15",10,"9E"
"331","CVG","LGA","<=15","<=15",10,"9E"
"332","ORD","JFK","<=15","<=15",6,"YX"
"333","BOS","LGA","<=15","<=15",10,"YX"
"334","DCA","LGA","<=15","<=15",10,"YX"
"335","JFK","SFO","<=15","<=15",10,"AS"
"336","PDX","EWR","30-45","15-30",10,"AS"
"337","EWR","MCO","<=15","<=15",0.75,"B6"
"338","JFK","SEA","<=15","<=15",3,"AS"
"339","MYR","EWR","<=15","<=15",7,"NK"
"340","JFK","SAN","<=15","15-30",10,"AS"
"341","JFK","SFO","<=15","<=15",10,"AA"
"342","JFK","LAX","<=15","<=15",10,"AA"
"343","RDU","JFK","<=15","<=15",6,"B6"
"344","JFK","CLT","<=15","<=15",0.25,"AA"
"345","LGA","DEN","<=15","<=15",10,"DL"
"346","LGA","BNA","<=15","<=15",3,"WN"
"347","MCO","EWR","<=15","<=15",8,"NK"
"348","PBI","EWR","<=15","<=15",8,"B6"
"349","EWR","DEN","15-30","<=15",10,"UA"
"350","PBI","JFK","<=15","<=15",8,"B6"
"351","JFK","LAS","<=15","<=15",10,"B6"
"352","JFK","SFO","15-30","15-30",10,"B6"
"353","LGA","ATL","30-45","<=15",0.5,"DL"
"354","EWR","IAH",">60",">60",0.25,"UA"
"355","AVL","EWR","45-60",">60",7,"G4"
"356","FLL","LGA","<=15","<=15",10,"B6"
"357","EWR","CHS","<=15","<=15",10,"UA"
"358","LGA","DFW","<=15","<=15",10,"AA"
"359","SFO","EWR","<=15","<=15",10,"AS"
"360","ORD","LGA","<=15","<=15",10,"AA"
"361","EWR","SLC","<=15","<=15",2,"UA"
"362","JFK","SLC","45-60",">60",1,"B6"
"363","LAX","JFK",">60",">60",10,"DL"
"364","LGA","MCO","<=15","<=15",0.75,"DL"
"365","JFK","SNA","<=15","<=15",10,"AA"
"366","EWR","IND","15-30","<=15",3,"UA"
"367","LGA","DTW","<=15","<=15",5,"DL"
"368","MCO","EWR","<=15","<=15",7,"UA"
"369","JFK","BNA","<=15","<=15",2.5,"B6"
"370","JFK","MCO","<=15","15-30",0.75,"B6"
"371","EWR","MIA","<=15","<=15",10,"UA"
"372","JFK","BOS","<=15","<=15",10,"B6"
"373","EWR","MCO","<=15","<=15",0.75,"NK"
"374","SLC","JFK","<=15","30-45",10,"DL"
"375","BOS","LGA",">60",">60",10,"B6"
"376","EWR","PBI","<=15","<=15",0.25,"UA"
"377","EWR","TPA","<=15","<=15",0.24,"UA"
"378","LGA","FLL","<=15","<=15",3,"B6"
"379","BOS","EWR","<=15","<=15",5,"UA"
"380","SEA","JFK","<=15","<=15",10,"AS"
"381","JFK","RSW","30-45","15-30",0.24,"B6"
"382","EWR","FLL","15-30","<=15",3,"UA"
"383","JFK","BTV","<=15","<=15",8,"B6"
"384","LGA","MCI","<=15","<=15",10,"WN"
"385","ATL","JFK","15-30","15-30",8,"DL"
"386","CLE","EWR","<=15","<=15",7,"UA"
"387","LGA","MDW","<=15","<=15",5,"WN"
"388","LGA","ORD","<=15","<=15",3,"AA"
"389","LGA","CLT","<=15","<=15",0.25,"AA"
"390","LGA","BNA","<=15","<=15",3,"B6"
"391","EWR","JAC","<=15","<=15",4,"UA"
"392","JFK","LAX","<=15","<=15",10,"B6"
"393","EWR","MCO","<=15","<=15",0.75,"UA"
"394","LGA","MIA","<=15","<=15",10,"AA"
"395","EWR","BOS",">60",">60",10,"UA"
"396","LGA","MSY","<=15","<=15",0.06,"DL"
"397","JFK","PBI","<=15","<=15",0.25,"B6"
"398","EWR","BOS","<=15","<=15",10,"B6"
"399","LGA","DEN","<=15","<=15",10,"UA"
"400","LGA","CHS","<=15","<=15",10,"B6"
"401","SLC","EWR","15-30","30-45",10,"DL"
"402","JFK","ORD","<=15","<=15",3,"AA"
"403","EWR","PHX","<=15","<=15",10,"AA"
"404","BNA","EWR","15-30","<=15",8,"NK"
"405","EWR","CLT","<=15","<=15",4,"YX"
"406","EWR","GSP","<=15","<=15",0.25,"YX"
"407","EWR","EYW","<=15","<=15",10,"YX"
"408","LGA","MCO","<=15","<=15",0.75,"NK"
"409","ORD","EWR","<=15","<=15",8,"UA"
"410","JFK","DTW","<=15","<=15",5,"9E"
"411","JFK","BNA","<=15","<=15",3,"9E"
"412","LGA","MEM","<=15","<=15",9,"9E"
"413","IAH","EWR","<=15","<=15",10,"UA"
"414","JFK","RDU","<=15","<=15",7,"9E"
"415","JFK","SAV","<=15","<=15",0.25,"9E"
"416","LGA","MKE","<=15","<=15",3.5,"9E"
"417","DEN","LGA","<=15","<=15",10,"DL"
"418","JFK","ORD","<=15","<=15",3,"9E"
"419","ORD","JFK","<=15","<=15",8,"B6"
"420","JFK","BOS","<=15","<=15",10,"YX"
"421","ATL","LGA","15-30","<=15",10,"DL"
"422","LGA","DCA","<=15","<=15",10,"YX"
"423","DEN","LGA","<=15","<=15",10,"UA"
"424","ORF","EWR",">60",">60",7,"UA"
"425","MIA","LGA","15-30","<=15",10,"AA"
"426","MDT","EWR","<=15","15-30",5,"YX"
"427","ORD","EWR","<=15","<=15",7,"MQ"
"428","PIT","JFK","<=15","<=15",6,"YX"
"429","OMA","LGA","<=15","<=15",10,"YX"
"430","RDU","LGA","<=15","<=15",10,"YX"
"431","ORF","JFK","<=15","<=15",4,"YX"
"432","BNA","JFK","<=15","<=15",8,"9E"
"433","CMH","JFK","<=15","<=15",6,"YX"
"434","SYR","LGA","<=15","<=15",10,"9E"
"435","JAX","LGA","<=15","<=15",10,"YX"
"436","CLT","LGA","30-45","15-30",10,"YX"
"437","CHS","LGA","<=15","<=15",10,"YX"
"438","EWR","MIA","<=15","<=15",10,"NK"
"439","PBI","LGA","<=15","<=15",10,"B6"
"440","JFK","MIA","<=15","<=15",10,"AA"
"441","JFK","SFO","<=15","<=15",10,"DL"
"442","JFK","LAX","45-60","45-60",10,"DL"
"443","JFK","SLC","<=15","15-30",1.75,"DL"
"444","LGA","ORD","<=15","<=15",0.5,"AA"
"445","ATL","LGA","<=15","<=15",10,"WN"
"446","SFO","JFK","<=15","<=15",10,"AS"
"447","JFK","LAX","<=15","15-30",10,"B6"
"448","LGA","ORD","<=15","<=15",3,"UA"
"449","CLT","EWR","<=15","<=15",8,"UA"
"450","LGA","PBI","<=15","<=15",0.24,"B6"
"451","LGA","MCO",">60",">60",0.25,"NK"
"452","MIA","JFK","<=15","<=15",10,"AA"
"453","EWR","MCI","15-30","<=15",10,"UA"
"454","EWR","MCO",">60",">60",0.25,"B6"
"455","LGA","MSP",">60",">60",9,"DL"
"456","BNA","EWR","<=15","<=15",7,"UA"
"457","LGA","ATL","<=15","<=15",0.24,"WN"
"458","EWR","LAX","15-30","15-30",10,"UA"
"459","EWR","ATL","30-45","<=15",0.24,"UA"
"460","EWR","PHX","15-30","30-45",10,"UA"
"461","ORD","LGA","<=15","<=15",10,"AA"
"462","EWR","CLE","<=15","<=15",8,"UA"
"463","EWR","JAX","<=15","<=15",0.24,"UA"
"464","JFK","MCO","<=15","<=15",0.25,"DL"
"465","EWR","LAS","30-45","45-60",10,"UA"
"466","JAX","JFK","30-45","15-30",8,"B6"
"467","IAH","EWR","15-30","<=15",10,"NK"
"468","SEA","EWR","<=15","15-30",10,"AS"
"469","LGA","RSW","<=15","<=15",4,"DL"
"470","BNA","LGA","<=15","<=15",10,"WN"
"471","EWR","MCO",">60",">60",0.25,"UA"
"472","LAS","JFK","15-30","<=15",10,"B6"
"473","MCO","LGA","<=15","<=15",10,"DL"
"474","JFK","PBI","<=15","<=15",0.24,"B6"
"475","EWR","IAD","30-45","<=15",10,"UA"
"476","EWR","SFO","45-60","30-45",10,"UA"
"477","JFK","PHX","<=15","<=15",10,"B6"
"478","LGA","DCA","<=15","<=15",10,"AA"
"479","MSP","LGA","<=15","<=15",10,"DL"
"480","FLL","JFK","<=15","<=15",8,"B6"
"481","JFK","MIA","30-45","<=15",10,"B6"
"482","JFK","TPA","<=15","<=15",0.24,"B6"
"483","LGA","STL","<=15","<=15",10,"WN"
"484","LGA","FLL","<=15","<=15",7,"DL"
"485","DTW","LGA","<=15","<=15",10,"DL"
"486","EWR","ORF","<=15","<=15",10,"YX"
"487","EWR","MYR","<=15","<=15",10,"YX"
"488","EWR","AVL","<=15","<=15",10,"YX"
"489","PBI","EWR","<=15","<=15",7,"UA"
"490","EWR","BGR","<=15","<=15",2,"YX"
"491","EWR","BUF","<=15","<=15",10,"YX"
"492","BOS","EWR","<=15","<=15",7,"UA"
"493","RDU","EWR","<=15","<=15",8,"UA"
"494","LGA","AVL","<=15","<=15",0.13,"YX"
"495","DAL","LGA","<=15","<=15",10,"WN"
"496","FLL","EWR","<=15","<=15",7,"UA"
"497","LGA","MSP","<=15","<=15",10,"YX"
"498","DTW","EWR","<=15","<=15",7,"DL"
"499","JFK","BNA","<=15","<=15",6,"YX"
"500","LGA","GSP","<=15","<=15",0.25,"9E"
"501","TYS","EWR","<=15","<=15",8,"G4"
"502","LGA","CVG","<=15","<=15",0.5,"YX"
"503","LGA","ORF","<=15","<=15",10,"9E"
"504","CLT","EWR","<=15","15-30",8,"AA"
"505","LGA","ILM","<=15","<=15",10,"9E"
"506","DEN","EWR","15-30","<=15",10,"UA"
"507","LGA","STL","<=15","<=15",4,"9E"
"508","ORD","EWR","<=15","<=15",10,"UA"
"509","LGA","MCI","45-60","30-45",10,"YX"
"510","MIA","EWR","<=15","<=15",10,"UA"
"511","LGA","MSN","<=15","<=15",3,"YX"
"512","LGA","IND","<=15","<=15",3,"YX"
"513","IAH","LGA",">60",">60",10,"UA"
"514","DCA","LGA","<=15","<=15",10,"AA"
"515","MCO","EWR","<=15","<=15",7,"UA"
"516","FLL","EWR","<=15","<=15",7,"B6"
"517","DEN","LGA","15-30","<=15",10,"B6"
"518","MCI","LGA","<=15","<=15",10,"WN"
"519","SFO","EWR","<=15","<=15",10,"UA"
"520","LAX","EWR","<=15","15-30",10,"UA"
"521","MDW","LGA","45-60","30-45",10,"WN"
"522","TPA","JFK","30-45","30-45",10,"B6"
"523","DEN","LGA","<=15","<=15",10,"WN"
"524","MCO","EWR",">60",">60",7,"B6"
"525","MIA","JFK","15-30","<=15",10,"B6"
"526","MIA","EWR","<=15","<=15",7,"B6"
"527","DFW","LGA","<=15","<=15",10,"AA"
"528","STL","LGA","<=15","<=15",10,"WN"
"529","PWM","EWR","<=15","<=15",8,"YX"
"530","PHL","EWR","<=15","<=15",7,"YX"
"531","MSP","EWR","<=15","<=15",10,"OO"
